"","DMU","effi","Lean.Practice","Innovation","Economic.Performance","Operational.Performance","Environment.Performance","Social.Performance"
"1",1,0.968835636412673,0,0,0,0.887675460811168,0,0.0498509868113416
"2",2,0.763229337172059,0,0,0,0,0,0
"3",3,1,0,0,0,0,0,0
"4",4,1,0,0,0,0,0,0
"5",5,1,0,0,0,0,0,0
"6",6,1,0,0,0,0,0,0
"7",7,0.950955943070397,0,0,0,0.245023018775312,0,0
"8",8,0.95784995916373,0,0.224104846782964,0,0.203494820492302,0,0
"9",9,0.956412213704778,0,0,0,0,0,0
"10",10,0.968078586079295,0,0,0,0,0,0
"11",11,1,0,0,0,0,0,0
"12",12,0.970358725964583,0,0,0,0.202111445867448,0,0.617812214562893
"13",13,1,0,0,0,0,0,0
"14",14,1,0,0,0,0,0,0
"15",15,1,0,0,0,0,0,0
"16",16,0.905297875745249,0,0,0,0.0112949498321649,0,0
"17",17,0.919396256569502,0.029006427730583,0,0,0,0,0.142385193724936
"18",18,1,0,0,0,0,0,0
"19",19,0.929197652220987,0,0,0,0.214646724875162,0,0
"20",20,0.949123450408846,0,0,0,0,0,0
"21",21,1,0,0,0,0,0,0
"22",22,0.802553423707576,0,0,0,0.21827850608486,0,0
"23",23,0.965558477929586,0,0,0,1.1443753604333,0,0
"24",24,1,0,0,0,0,0,0
"25",25,0.836547678449608,0,0,0,0,0,0
"26",26,0.831623266945769,0,0,0,0,0,0
"27",27,0.920081697582927,0,0,0,0,0,0
"28",28,0.939238332283583,0,0,0.46533406107097,0,0,0
"29",29,0.975744716424761,0,0,0,0,0.271696155904924,0
"30",30,1,0,0,0,0,0,0
"31",31,1,0,0,0,0,0,0
"32",32,0.889626665631441,0,0,0,0.180864655426274,0.250677117895412,0
"33",33,0.849290591760142,0,0,0,0.668381665458598,0,0
"34",34,0.912413964255639,0,0,0,0,0.0870500322184563,0
"35",35,0.948445460073431,0,0,0,0,0,0
