proposer_id,treat1,is_sl1,is_talk1,prop_offer
1,1,0,0,10
2,1,0,0,10
3,1,0,0,10
4,1,0,0,5
5,1,0,0,7
6,1,0,0,4
7,1,0,0,7
8,1,0,0,5
9,1,0,0,10
10,1,0,0,3
11,1,0,0,10
12,1,0,0,7
13,1,0,0,6
14,2,0,1,10
15,2,0,1,10
16,2,0,1,10
17,2,0,1,10
18,2,0,1,10
19,2,0,1,10
20,2,0,1,7
21,2,0,1,10
22,2,0,1,10
23,2,0,1,10
24,2,0,1,10
25,2,0,1,10
26,2,0,1,5
27,2,0,1,10
28,2,0,1,10
29,2,0,1,10
30,2,0,1,10
31,2,0,1,10
32,2,0,1,10
33,2,0,1,10
34,3,1,0,10
35,3,1,0,8
36,3,1,0,10
37,3,1,0,10
38,3,1,0,10
39,3,1,0,10
40,3,1,0,10
41,3,1,0,10
42,3,1,0,10
43,3,1,0,10
44,3,1,0,10
45,3,1,0,3
46,3,1,0,10
47,3,1,0,10
48,3,1,0,10
49,3,1,0,7
50,3,1,0,8
51,3,1,0,10
52,3,1,0,12
53,3,1,0,10
54,3,1,0,10
55,3,1,0,11
56,3,1,0,12
57,3,1,0,5
58,3,1,0,10
59,3,1,0,10
60,3,1,0,10
61,4,1,1,10
62,4,1,1,20
63,4,1,1,10
64,4,1,1,10
65,4,1,1,10
66,4,1,1,5
67,4,1,1,10
68,4,1,1,10
69,4,1,1,10
70,4,1,1,10
71,4,1,1,10
72,4,1,1,10
73,4,1,1,10
74,4,1,1,10
75,4,1,1,10
76,4,1,1,10
77,4,1,1,10
78,4,1,1,10
79,4,1,1,10
80,4,1,1,10
81,4,1,1,10
